codigo,nome,contato,email,fone
1086,7 ESTRELAS AUTO PEÇAS,,,
570,A CASA DO GRAFIATO,,,3622-6769/363514
1156,A E S COMERCIO DE SEGURANÇA ELETRONICA L,,,
6,A FELIZARDO TAUBATE EPP,,,3632-7813
1140,A S S SILVA SISTEMAS DE SEGURANCA,,contato@totaleletronicos.com.br,17 3363-9615
1180,A. DE. SOUZA CAMPOS & V. L. DE SOUZA CAM,,,
517,A.A. COSTA EPP,,,
497,A.S. DE CARVALHO ELETROELETRONICOS ME,,,39313870
636,ABE COM. IMP. EXP. E REPRESENTAÇÕES LTDA,EDSON / ANDREIA,vendas@delphustecnologia.com.br,011 49902656
523,ABSOLUTA RETIFICA DE MOTORES LTDA,,,
510,ABUD & CARVALHO MEDICINA E SEGURANÇA DO,,valemed.medicina@terra.com.br,12 36222880
352,ACENT RÁDIO COMUNICAÇÃO MOTOROLA,,vendas@acent-radios.com.br,(11) 2201-1501
2,ACESSO DISTRIBUIDORA,,renata@naylux.com.br,1230266790
1024,ACT POWER,,,
55,ACTON INDUSTRIA ELETRONICA,VILMA,,(014) 33065450
56,ADAM DISTRIBUIDORA,,,(34) 3316-3907
754,ADEMIR LOPES,,,
58,AEDSOL SOLUÇÕES,eduardo,,(041) 3039-1960
7,AEROTEX EXTINTORES LTDA EPP,,,(12) 3922-1771
830,AG. ANDAIMES,,,3624-5151
8,AGAESSE PECAS AUTOMOTIVAS LTDA,ADRIANO GERENCIA,,(12) 3625-3322
46,AGENCIA VITRAE,FELIPE MARTINS,,(12) 8822-7831
9,AGENOR G. LEITE TAUBATE ME,AGENOR,,(12) 3633-2617
392,AGL FECHADURAS ELÉTRICAS LTDA,,,037-32121623
881,AGORA TELECOM,,,(11) 4058.9600
61,AGUA SERRANA,LOJA 1,,3631-3785
77,ALARM SISTEM-DISTRIBUICAO E TREINAMENTO,alarm sistem-distribuicao e,vendasitajai@asdt.com.br,49*3348-9009
65,ALARMA  EQUIPAMENTOS DE SEGURANCA,,,(041)218-7000
67,ALARME SANTA  RITA,ROBERTO,,(035)3471-1999
68,ALARME SOFT,WELLINGTON J.M. MAIA,,(31)9133-3313
69,ALARMWOLX,,,3814-2888
387,ALCATEIA ENGENHARIA DE SISTEMAS LTDA,,,(11) 3226-2626
1093,ALESSANDRA DE ARAUJO JORGE- ELETRO ELETR,MAURICIO,,39136537
971,ALEXANDRE S. C. DE ASSIS ELETRO-ELETRONI,,,
71,ALFA ALARMES - COM. DE COM.ELET. LTDA,MARCIA (ANTIGA BETATRONIC),,(41)3016-1752
552,ALFA SOLUCOES EM TECNOLOGIAS E AUTOMACAO,NILSON,,012 36334871
564,ALFACOMP AUTOMAÇÃO INDUSTRIAL LTDA,,,(051) 30297161
355,ALFANET DISTRIBUIDORA,ODALICE,contato@alfanetdistribuidora.com.br,(47) 3393-6321
11,ALGE METALURGICA LTDA,SANDRA,atendimento@algemetalurgica.com.br,(11) 2721-2006
687,ALIARA BRASIL,Ricardo Binatto,comercial@aliarabrasil.com.br,11 2246-1234
624,ALIVE DO BRASIL,,contato@alivebrasil.com.br /,(41) 3068-8500
79,ALLCOM,,,12*3294-3094
12,ALLISON FUKUMOTO - ME,RENATO / ALISSON,,(12) 3621-6319
782,ALO CARIMBOS,,,31) 3272-2101
1043,ALPHA ELETRONICOS DO BRASIL LTDA - EPP,,,11- 3976-9592
80,ALPHATRONICS,ADAM ISAAC MONTEALEGRE,,11*3936-8820
13,ALPHAVALE DISTRIBUIDORA DE INFORMÁTICA,HELENA / CAMILA,comercial.alphavale@hotmail.com,(12) 3933-8019
790,ALPLAN COMÉRCIO DE ALUMÍNIO LTDA,,,012 3901-425
389,AMAPLASTIC,,,(012) 3951-4412
